list_index,source_year,source_listed_author,source_title,source_journal,canonical_title,lead_author,coauthors,full_author_list,author_count_in_list,author_list_status,publication_type,publication_year,journal_or_source,volume_issue_pages,doi,pmid,pmcid,canonical_article_url,duplicate_of_list_index,metadata_status,notes,metadata_retrieved_date,reach_publications_page
118,2025,"Schmidt, W. C. et al.",Physical activity and mental health in patients with multimorbidity,Mental Health and Physical Activity,Physical activity and mental health in patients with multimorbidity,Christian W Schmidt,Megan Agnew; Kristen Malecki; Ronald Gangnon; Amy Schultz; Paul E Peppard; Lisa Cadmus-Bertram,Christian W Schmidt; Megan Agnew; Kristen Malecki; Ronald Gangnon; Amy Schultz; Paul E Peppard; Lisa Cadmus-Bertram,7,complete,Journal article,2025,Mental Health and Physical Activity,28:100673,10.1016/j.mhpa.2025.100673,,,https://doi.org/10.1016/j.mhpa.2025.100673,,verified,The source page reverses the first author’s initials in one occurrence.,2026-06-24,https://reach.med.wisc.edu/research/#publications
119,2025,"Dillard, L. K. et al.",Factors Associated With Self-Reported Hearing Difficulty on the Revised Hearing Handicap Inventory and Its Relationship With Hearing Aid Use: Findings From the Population-Based Survey of the Health of Wisconsin,J Speech Lang Hear Res,Factors Associated With Self-Reported Hearing Difficulty on the Revised Hearing Handicap Inventory and Its Relationship With Hearing Aid Use: Findings From the Population-Based Survey of the Health of Wisconsin,Lauren K Dillard,Judy R Dubno; Erin R Nelson-Bakkum; Amy Schultz,Lauren K Dillard; Judy R Dubno; Erin R Nelson-Bakkum; Amy Schultz,4,complete,Journal article,2025,"Journal of Speech, Language, and Hearing Research",68(11):5570-5581,10.1044/2025_JSLHR-25-00407,40990727,,https://doi.org/10.1044/2025_JSLHR-25-00407,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
120,2025,"Kamis, C., et al.",How does life course exposure to contextual disadvantage accelerate biological aging? The role of psychological symptoms,The Journals of Gerontology,How does life course exposure to contextual disadvantage accelerate biological aging? The role of psychological symptoms,Christina Kamis,Wei Xu; Amy Schultz; Joseph Clark; Michal Engelman; Kristen Malecki,Christina Kamis; Wei Xu; Amy Schultz; Joseph Clark; Michal Engelman; Kristen Malecki,6,complete,Journal article,2025,The Journals of Gerontology: Series B,80(12):gbaf206,10.1093/geronb/gbaf206,41124018,PMC12584352,https://doi.org/10.1093/geronb/gbaf206,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
121,2025,"Eggers, S., et al.",Food insecurity modifies the association between the gut microbiome and the risk of cognitive impairment in adults.,npj Aging,Food insecurity modifies the association between the gut microbiome and the risk of cognitive impairment in adults.,Shoshannah Eggers,Zachary E Hoggarth; Kiran Nagdeo; Maria J Banas; Jamil M Lane; Elza Rechtman; Chris Gennings; Elizabeth O’Neal; Paul E Peppard; Ajay K Sethi; Nasia Safdar; Kristen M C Malecki; Amy A Schultz; Vishal Midya,Shoshannah Eggers; Zachary E Hoggarth; Kiran Nagdeo; Maria J Banas; Jamil M Lane; Elza Rechtman; Chris Gennings; Elizabeth O’Neal; Paul E Peppard; Ajay K Sethi; Nasia Safdar; Kristen M C Malecki; Amy A Schultz; Vishal Midya,14,complete,Journal article,2025,npj Aging,11(1):47,10.1038/s41514-025-00241-0,40533471,PMC12177064,https://doi.org/10.1038/s41514-025-00241-0,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
122,2025,"Christens, B.D. et al.",Direct and Indirect Effects of Socioeconomic Status and Neighborhood Disadvantage on Mental Health: Psychological Sense of Community as Mediator,American Journal of Epidemiology,Direct and Indirect Effects of Socioeconomic Status and Neighborhood Disadvantage on Mental Health: Psychological Sense of Community as Mediator,Brian D Christens,Tommaso Galeotti; Michela Lenzi; N Andrew Peterson; Peter C Treitler,Brian D Christens; Tommaso Galeotti; Michela Lenzi; N Andrew Peterson; Peter C Treitler,5,complete,Journal article,2025,Social Indicators Research,179(1):463-480,10.1007/s11205-025-03625-7,,,https://doi.org/10.1007/s11205-025-03625-7,,verified,The source page incorrectly lists American Journal of Epidemiology; the DOI resolves to Social Indicators Research.,2026-06-24,https://reach.med.wisc.edu/research/#publications
123,2025,"Park, E. Y. et al.",Self-reported hearing loss and health during a pandemic: Findings from a cross-sectional analysis using a 2021 household survey,Disability and Health Journal,Self-reported hearing loss and health during a pandemic: Findings from a cross-sectional analysis using a 2021 household survey,Eunice Y Park,Erin R Nelson-Bakkum; Amy A Schultz; Lauren K Dillard,Eunice Y Park; Erin R Nelson-Bakkum; Amy A Schultz; Lauren K Dillard,4,complete,Journal article,2025,Disability and Health Journal,18(1):101706,10.1016/j.dhjo.2024.101706,39266396,PMC12038479,https://doi.org/10.1016/j.dhjo.2024.101706,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
124,2025,"Xu, W. et al.",The health implications of cumulative exposure to contextual (dis)advantage: methodological and substantive advances from a unique data linkage,American Journal of Epidemiology,The health implications of cumulative exposure to contextual (dis)advantage: methodological and substantive advances from a unique data linkage,Wei Xu,Christina Kamis; Megan Agnew; Amy Schultz; Sarah Salas; Kristen Malecki; Michal Engelman,Wei Xu; Christina Kamis; Megan Agnew; Amy Schultz; Sarah Salas; Kristen Malecki; Michal Engelman,7,complete,Journal article,2025,American Journal of Epidemiology,194(2):480-489,10.1093/aje/kwae183,38973742,,https://doi.org/10.1093/aje/kwae183,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
125,2025,"Warner, K. et al.",Urinary Incontinence and Care Seeking Among Wisconsin Women.,Urogynecology,Urinary Incontinence and Care Seeking Among Wisconsin Women.,Kristina J Warner,Amy A Schultz; Jodi H Barnet; Heidi W Brown,Kristina J Warner; Amy A Schultz; Jodi H Barnet; Heidi W Brown,4,complete,Journal article,2025,Urogynecology,31(2):139-146,10.1097/SPV.0000000000001599,39841520,,https://doi.org/10.1097/SPV.0000000000001599,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
126,2025,"Schmidt, C. W. et al.",Physical activity and mental health in patients with multimorbidity,Mental Health & Physical Activity,Physical activity and mental health in patients with multimorbidity,Christian W Schmidt,Megan Agnew; Kristen Malecki; Ronald Gangnon; Amy Schultz; Paul E Peppard; Lisa Cadmus-Bertram,Christian W Schmidt; Megan Agnew; Kristen Malecki; Ronald Gangnon; Amy Schultz; Paul E Peppard; Lisa Cadmus-Bertram,7,complete,Journal article,2025,Mental Health and Physical Activity,28:100673,10.1016/j.mhpa.2025.100673,,,https://doi.org/10.1016/j.mhpa.2025.100673,118,verified_duplicate,Duplicate source row of list index 118; this occurrence uses the correct first-author initials.,2026-06-24,https://reach.med.wisc.edu/research/#publications
127,2025,"Park, E. Y. et al.",Is neighborhood sense of community good for mental health in a pandemic? Paradoxical findings from longitudinal analyses of Wisconsin health survey,Health & Place,Is neighborhood sense of community good for mental health in a pandemic? Paradoxical findings from longitudinal analyses of Wisconsin health survey,Eunice Y Park,Jodi H Barnet; Kristen C Malecki; Thomas R Oliver,Eunice Y Park; Jodi H Barnet; Kristen C Malecki; Thomas R Oliver,4,complete,Journal article,2025,Health & Place,95:103494,10.1016/j.healthplace.2025.103494,40532381,,https://doi.org/10.1016/j.healthplace.2025.103494,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
128,2025,"Xu, W. et al.",Cumulative neighborhood disadvantage and racial and geographic disparities in epigenetic aging,SSM - Population Health,Cumulative neighborhood disadvantage and racial and geographic disparities in epigenetic aging,Wei Xu,Christina Kamis; Joseph Clark; Amy Schultz; Michal Engelman; Kristen Malecki,Wei Xu; Christina Kamis; Joseph Clark; Amy Schultz; Michal Engelman; Kristen Malecki,6,complete,Journal article,2025,SSM - Population Health,31:101825,10.1016/j.ssmph.2025.101825,40584435,,https://doi.org/10.1016/j.ssmph.2025.101825,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
129,2025,"Ma, Y. et al.",Comparison of sample characteristics of Wisconsin Alzheimer's Disease Research Center participants with the Wisconsin state population-An evaluation of the recruitment effort,Alzheimer's Association,Comparison of sample characteristics of Wisconsin Alzheimer's Disease Research Center participants with the Wisconsin state population-An evaluation of the recruitment effort,Yue Ma,Maria C Mora Pinzon; William R Buckingham; Andrew J Bersch; W Ryan Powell; Tamara J LeCaire; Gilda E Ennis; Yuetiva Deming; Erin M Jonaitis; Nathaniel A Chin; Lindsay R Clark; Dorothy F Edwards; Art Walaszek; Ozioma C Okonkwo; Megan Zuelsdorff; Richard J Chappell; Sterling C Johnson; Sanjay Asthana; Carey E Gleason; Amy J Kind; Barbara B Bendlin; Cynthia M Carlsson,Yue Ma; Maria C Mora Pinzon; William R Buckingham; Andrew J Bersch; W Ryan Powell; Tamara J LeCaire; Gilda E Ennis; Yuetiva Deming; Erin M Jonaitis; Nathaniel A Chin; Lindsay R Clark; Dorothy F Edwards; Art Walaszek; Ozioma C Okonkwo; Megan Zuelsdorff; Richard J Chappell; Sterling C Johnson; Sanjay Asthana; Carey E Gleason; Amy J Kind; Barbara B Bendlin; Cynthia M Carlsson,22,complete,Journal article,2025,Alzheimer’s & Dementia: Translational Research & Clinical Interventions,11(1):e70036,10.1002/trc2.70036,39822591,PMC11736623,https://doi.org/10.1002/trc2.70036,,verified,The source page gives the publisher/association name rather than the journal title; corrected from article metadata.,2026-06-24,https://reach.med.wisc.edu/research/#publications
130,2025,"Schultz, A. A. et al.",Evaluating the effectiveness of community-informed resource dissemination at increasing knowledge and testing rates among private well water owners in a statewide population,Journal of Environmental Management,Evaluating the effectiveness of community-informed resource dissemination at increasing knowledge and testing rates among private well water owners in a statewide population,Amy A Schultz,Rachel Pomazal; Paula Bizot; Amy Van Aartsen; Allison Rodriguez; Susan Zahner,Amy A Schultz; Rachel Pomazal; Paula Bizot; Amy Van Aartsen; Allison Rodriguez; Susan Zahner,6,complete,Journal article,2025,Journal of Environmental Management,373:123671,10.1016/j.jenvman.2024.123671,39718062,PMC11913057,https://doi.org/10.1016/j.jenvman.2024.123671,,verified,The source page misspells “Management.”,2026-06-24,https://reach.med.wisc.edu/research/#publications
131,2026,"Aldred, B. N. et al.",Visual Impairment and Living in Poverty Are Associated in Wisconsin,WMJ,Visual Impairment and Living in Poverty Are Associated in Wisconsin,Breanna N Aldred,Suzanne W van Landingham,Breanna N Aldred; Suzanne W van Landingham,2,complete,Journal article,2026,WMJ,125(2):245-250,,42258648,,https://wmjonline.org/125no2/aldred/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
